"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.505,-0.475,0.005
0,0,0,0.005,0.515,-0.475,0.005
0,0,0,0.005,0.525,-0.475,0.005
0,0,0,0.005,0.535,-0.475,0.005
0,0,0,0.005,0.545,-0.475,0.005
0,0,0,0.005,0.555,-0.475,0.005
0,0,0,0.005,0.515,-0.415,0.005
0,0,0,0.005,0.525,-0.415,0.005
0,0,0,0.005,0.535,-0.415,0.005
0,0,0,0.005,0.545,-0.415,0.005
0,0,0,0.005,0.555,-0.415,0.005
0,0,0,0.005,0.565,-0.475,0.005
0,0,0,0.005,0.575,-0.475,0.005
0,0,0,0.005,0.585,-0.475,0.005
0,0,0,0.005,0.595,-0.475,0.005
0,0,0,0.005,0.605,-0.475,0.005
0,0,0,0.005,0.615,-0.475,0.005
0,0,0,0.005,0.625,-0.475,0.005
0,0,0,0.005,0.635,-0.465,0.005
0,0,0,0.005,0.565,-0.415,0.005
0,0,0,0.005,0.575,-0.415,0.005
0,0,0,0.005,0.585,-0.415,0.005
0,0,0,0.005,0.595,-0.415,0.005
0,0,0,0.005,0.605,-0.415,0.005
0,0,0,0.005,0.615,-0.415,0.005
0,0,0,0.005,0.625,-0.415,0.005
0,0,0,0.005,0.635,-0.415,0.005
0,0,0,0.005,0.525,-0.365,0.005
0,0,0,0.005,0.535,-0.365,0.005
0,0,0,0.005,0.545,-0.365,0.005
0,0,0,0.005,0.555,-0.365,0.005
0,0,0,0.005,0.565,-0.365,0.005
0,0,0,0.005,0.575,-0.365,0.005
0,0,0,0.005,0.585,-0.365,0.005
0,0,0,0.005,0.595,-0.365,0.005
0,0,0,0.005,0.605,-0.365,0.005
0,0,0,0.005,0.615,-0.365,0.005
0,0,0,0.005,0.625,-0.365,0.005
0,0,0,0.005,0.635,-0.355,0.005
0,0,0,0.005,0.535,-0.305,0.005
0,0,0,0.005,0.545,-0.305,0.005
0,0,0,0.005,0.555,-0.305,0.005
0,0,0,0.005,0.525,-0.255,0.005
0,0,0,0.005,0.535,-0.255,0.005
0,0,0,0.005,0.545,-0.255,0.005
0,0,0,0.005,0.555,-0.255,0.005
0,0,0,0.005,0.565,-0.305,0.005
0,0,0,0.005,0.575,-0.305,0.005
0,0,0,0.005,0.585,-0.305,0.005
0,0,0,0.005,0.595,-0.305,0.005
0,0,0,0.005,0.605,-0.305,0.005
0,0,0,0.005,0.615,-0.305,0.005
0,0,0,0.005,0.625,-0.305,0.005
0,0,0,0.005,0.635,-0.305,0.005
0,0,0,0.005,0.565,-0.255,0.005
0,0,0,0.005,0.575,-0.255,0.005
0,0,0,0.005,0.585,-0.255,0.005
0,0,0,0.005,0.595,-0.255,0.005
0,0,0,0.005,0.605,-0.255,0.005
0,0,0,0.005,0.615,-0.255,0.005
0,0,0,0.005,0.625,-0.255,0.005
0,0,0,0.005,0.635,-0.255,0.005
0,0,0,0.005,0.525,-0.195,0.005
0,0,0,0.005,0.535,-0.195,0.005
0,0,0,0.005,0.545,-0.195,0.005
0,0,0,0.005,0.555,-0.195,0.005
0,0,0,0.005,0.565,-0.195,0.005
0,0,0,0.005,0.575,-0.195,0.005
0,0,0,0.005,0.585,-0.195,0.005
0,0,0,0.005,0.595,-0.195,0.005
0,0,0,0.005,0.605,-0.195,0.005
0,0,0,0.005,0.615,-0.195,0.005
0,0,0,0.005,0.625,-0.195,0.005
0,0,0,0.005,0.635,-0.195,0.005
0,0,0,0.005,0.525,-0.145,0.005
0,0,0,0.005,0.535,-0.145,0.005
0,0,0,0.005,0.545,-0.145,0.005
0,0,0,0.005,0.555,-0.145,0.005
0,0,0,0.005,0.545,-0.095,0.005
0,0,0,0.005,0.555,-0.095,0.005
0,0,0,0.005,0.565,-0.145,0.005
0,0,0,0.005,0.575,-0.145,0.005
0,0,0,0.005,0.585,-0.145,0.005
0,0,0,0.005,0.595,-0.145,0.005
0,0,0,0.005,0.605,-0.145,0.005
0,0,0,0.005,0.615,-0.145,0.005
0,0,0,0.005,0.625,-0.145,0.005
0,0,0,0.005,0.635,-0.145,0.005
0,0,0,0.005,0.565,-0.095,0.005
0,0,0,0.005,0.575,-0.095,0.005
0,0,0,0.005,0.585,-0.095,0.005
0,0,0,0.005,0.595,-0.095,0.005
0,0,0,0.005,0.605,-0.095,0.005
0,0,0,0.005,0.615,-0.095,0.005
0,0,0,0.005,0.625,-0.095,0.005
0,0,0,0.005,0.635,-0.095,0.005
0,0,0,0.005,0.565,-0.035,0.005
0,0,0,0.005,0.575,-0.035,0.005
0,0,0,0.005,0.585,-0.035,0.005
0,0,0,0.005,0.595,-0.035,0.005
0,0,0,0.005,0.605,-0.035,0.005
0,0,0,0.005,0.615,-0.035,0.005
0,0,0,0.005,0.625,-0.035,0.005
0,0,0,0.005,0.635,-0.035,0.005
0,0,0,0.005,0.705,-0.635,0.005
0,0,0,0.005,0.715,-0.635,0.005
0,0,0,0.005,0.645,-0.585,0.005
0,0,0,0.005,0.655,-0.585,0.005
0,0,0,0.005,0.665,-0.585,0.005
0,0,0,0.005,0.675,-0.585,0.005
0,0,0,0.005,0.685,-0.585,0.005
0,0,0,0.005,0.695,-0.585,0.005
0,0,0,0.005,0.705,-0.585,0.005
0,0,0,0.005,0.715,-0.575,0.005
0,0,0,0.005,0.725,-0.635,0.005
0,0,0,0.005,0.735,-0.635,0.005
0,0,0,0.005,0.745,-0.635,0.005
0,0,0,0.005,0.755,-0.635,0.005
0,0,0,0.005,0.765,-0.635,0.005
0,0,0,0.005,0.775,-0.635,0.005
0,0,0,0.005,0.785,-0.635,0.005
0,0,0,0.005,0.725,-0.575,0.005
0,0,0,0.005,0.735,-0.575,0.005
0,0,0,0.005,0.745,-0.575,0.005
0,0,0,0.005,0.755,-0.575,0.005
0,0,0,0.005,0.765,-0.575,0.005
0,0,0,0.005,0.775,-0.575,0.005
0,0,0,0.005,0.785,-0.575,0.005
0,0,0,0.005,0.795,-0.575,0.005
0,0,0,0.005,0.645,-0.525,0.005
0,0,0,0.005,0.655,-0.525,0.005
0,0,0,0.005,0.665,-0.525,0.005
0,0,0,0.005,0.675,-0.525,0.005
0,0,0,0.005,0.685,-0.525,0.005
0,0,0,0.005,0.695,-0.525,0.005
0,0,0,0.005,0.705,-0.525,0.005
0,0,0,0.005,0.715,-0.525,0.005
0,0,0,0.005,0.725,-0.525,0.005
0,0,0,0.005,0.735,-0.515,0.005
0,0,0,0.005,0.745,-0.515,0.005
0,0,0,0.005,0.755,-0.515,0.005
0,0,0,0.005,0.765,-0.515,0.005
0,0,0,0.005,0.775,-0.515,0.005
0,0,0,0.005,0.785,-0.515,0.005
0,0,0,0.005,0.795,-0.515,0.005
0,0,0,0.005,0.645,-0.465,0.005
0,0,0,0.005,0.655,-0.465,0.005
0,0,0,0.005,0.665,-0.465,0.005
0,0,0,0.005,0.675,-0.465,0.005
0,0,0,0.005,0.685,-0.465,0.005
0,0,0,0.005,0.695,-0.465,0.005
0,0,0,0.005,0.705,-0.465,0.005
0,0,0,0.005,0.715,-0.465,0.005
0,0,0,0.005,0.645,-0.415,0.005
0,0,0,0.005,0.655,-0.415,0.005
0,0,0,0.005,0.665,-0.415,0.005
0,0,0,0.005,0.675,-0.415,0.005
0,0,0,0.005,0.685,-0.415,0.005
0,0,0,0.005,0.695,-0.415,0.005
0,0,0,0.005,0.705,-0.415,0.005
0,0,0,0.005,0.715,-0.415,0.005
0,0,0,0.005,0.725,-0.465,0.005
0,0,0,0.005,0.735,-0.465,0.005
0,0,0,0.005,0.745,-0.465,0.005
0,0,0,0.005,0.755,-0.465,0.005
0,0,0,0.005,0.765,-0.465,0.005
0,0,0,0.005,0.775,-0.465,0.005
0,0,0,0.005,0.785,-0.465,0.005
0,0,0,0.005,0.795,-0.465,0.005
0,0,0,0.005,0.725,-0.415,0.005
0,0,0,0.005,0.735,-0.415,0.005
0,0,0,0.005,0.745,-0.415,0.005
0,0,0,0.005,0.755,-0.415,0.005
0,0,0,0.005,0.765,-0.405,0.005
0,0,0,0.005,0.775,-0.405,0.005
0,0,0,0.005,0.785,-0.405,0.005
0,0,0,0.005,0.795,-0.405,0.005
0,0,0,0.005,0.645,-0.355,0.005
0,0,0,0.005,0.655,-0.355,0.005
0,0,0,0.005,0.665,-0.355,0.005
0,0,0,0.005,0.675,-0.355,0.005
0,0,0,0.005,0.685,-0.355,0.005
0,0,0,0.005,0.695,-0.355,0.005
0,0,0,0.005,0.705,-0.355,0.005
0,0,0,0.005,0.715,-0.355,0.005
0,0,0,0.005,0.725,-0.355,0.005
0,0,0,0.005,0.735,-0.355,0.005
0,0,0,0.005,0.745,-0.355,0.005
0,0,0,0.005,0.755,-0.355,0.005
0,0,0,0.005,0.765,-0.355,0.005
0,0,0,0.005,0.775,-0.355,0.005
0,0,0,0.005,0.785,-0.355,0.005
0,0,0,0.005,0.795,-0.355,0.005
0,0,0,0.005,0.645,-0.305,0.005
0,0,0,0.005,0.655,-0.305,0.005
0,0,0,0.005,0.665,-0.305,0.005
0,0,0,0.005,0.675,-0.305,0.005
0,0,0,0.005,0.685,-0.305,0.005
0,0,0,0.005,0.695,-0.305,0.005
0,0,0,0.005,0.705,-0.305,0.005
0,0,0,0.005,0.715,-0.305,0.005
0,0,0,0.005,0.645,-0.255,0.005
0,0,0,0.005,0.655,-0.255,0.005
0,0,0,0.005,0.665,-0.255,0.005
0,0,0,0.005,0.675,-0.255,0.005
0,0,0,0.005,0.685,-0.255,0.005
0,0,0,0.005,0.695,-0.255,0.005
0,0,0,0.005,0.705,-0.255,0.005
0,0,0,0.005,0.715,-0.255,0.005
0,0,0,0.005,0.725,-0.305,0.005
0,0,0,0.005,0.735,-0.305,0.005
0,0,0,0.005,0.745,-0.305,0.005
0,0,0,0.005,0.755,-0.305,0.005
0,0,0,0.005,0.765,-0.305,0.005
0,0,0,0.005,0.775,-0.305,0.005
0,0,0,0.005,0.785,-0.305,0.005
0,0,0,0.005,0.795,-0.305,0.005
0,0,0,0.005,0.725,-0.255,0.005
0,0,0,0.005,0.735,-0.255,0.005
0,0,0,0.005,0.745,-0.255,0.005
0,0,0,0.005,0.755,-0.245,0.005
0,0,0,0.005,0.765,-0.245,0.005
0,0,0,0.005,0.775,-0.245,0.005
0,0,0,0.005,0.785,-0.245,0.005
0,0,0,0.005,0.795,-0.245,0.005
0,0,0,0.005,0.645,-0.195,0.005
0,0,0,0.005,0.655,-0.195,0.005
0,0,0,0.005,0.665,-0.195,0.005
0,0,0,0.005,0.675,-0.195,0.005
0,0,0,0.005,0.685,-0.195,0.005
0,0,0,0.005,0.695,-0.195,0.005
0,0,0,0.005,0.705,-0.195,0.005
0,0,0,0.005,0.715,-0.195,0.005
0,0,0,0.005,0.725,-0.195,0.005
0,0,0,0.005,0.735,-0.195,0.005
0,0,0,0.005,0.745,-0.195,0.005
0,0,0,0.005,0.755,-0.195,0.005
0,0,0,0.005,0.765,-0.195,0.005
0,0,0,0.005,0.775,-0.195,0.005
0,0,0,0.005,0.785,-0.195,0.005
