"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.345,-0.845,0.005
0,0,0,0.005,0.355,-0.845,0.005
0,0,0,0.005,0.365,-0.845,0.005
0,0,0,0.005,0.375,-0.845,0.005
0,0,0,0.005,0.385,-0.845,0.005
0,0,0,0.005,0.395,-0.845,0.005
0,0,0,0.005,0.405,-0.845,0.005
0,0,0,0.005,0.415,-0.845,0.005
0,0,0,0.005,0.425,-0.845,0.005
0,0,0,0.005,0.435,-0.835,0.005
0,0,0,0.005,0.445,-0.835,0.005
0,0,0,0.005,0.455,-0.835,0.005
0,0,0,0.005,0.465,-0.835,0.005
0,0,0,0.005,0.475,-0.835,0.005
0,0,0,0.005,0.485,-0.905,0.005
0,0,0,0.005,0.495,-0.905,0.005
0,0,0,0.005,0.505,-0.905,0.005
0,0,0,0.005,0.515,-0.905,0.005
0,0,0,0.005,0.525,-0.905,0.005
0,0,0,0.005,0.535,-0.905,0.005
0,0,0,0.005,0.545,-0.895,0.005
0,0,0,0.005,0.555,-0.895,0.005
0,0,0,0.005,0.635,-0.955,0.005
0,0,0,0.005,0.565,-0.895,0.005
0,0,0,0.005,0.575,-0.895,0.005
0,0,0,0.005,0.585,-0.895,0.005
0,0,0,0.005,0.595,-0.895,0.005
0,0,0,0.005,0.605,-0.895,0.005
0,0,0,0.005,0.485,-0.835,0.005
0,0,0,0.005,0.495,-0.835,0.005
0,0,0,0.005,0.505,-0.835,0.005
0,0,0,0.005,0.515,-0.835,0.005
0,0,0,0.005,0.525,-0.835,0.005
0,0,0,0.005,0.535,-0.835,0.005
0,0,0,0.005,0.545,-0.835,0.005
0,0,0,0.005,0.555,-0.835,0.005
0,0,0,0.005,0.565,-0.835,0.005
0,0,0,0.005,0.365,-0.785,0.005
0,0,0,0.005,0.375,-0.785,0.005
0,0,0,0.005,0.385,-0.785,0.005
0,0,0,0.005,0.395,-0.785,0.005
0,0,0,0.005,0.405,-0.785,0.005
0,0,0,0.005,0.415,-0.785,0.005
0,0,0,0.005,0.425,-0.785,0.005
0,0,0,0.005,0.435,-0.785,0.005
0,0,0,0.005,0.445,-0.785,0.005
0,0,0,0.005,0.455,-0.785,0.005
0,0,0,0.005,0.465,-0.775,0.005
0,0,0,0.005,0.475,-0.775,0.005
0,0,0,0.005,0.425,-0.705,0.005
0,0,0,0.005,0.435,-0.705,0.005
0,0,0,0.005,0.445,-0.705,0.005
0,0,0,0.005,0.455,-0.705,0.005
0,0,0,0.005,0.465,-0.705,0.005
0,0,0,0.005,0.475,-0.705,0.005
0,0,0,0.005,0.485,-0.775,0.005
0,0,0,0.005,0.495,-0.775,0.005
0,0,0,0.005,0.505,-0.775,0.005
0,0,0,0.005,0.515,-0.775,0.005
0,0,0,0.005,0.525,-0.775,0.005
0,0,0,0.005,0.485,-0.705,0.005
0,0,0,0.005,0.495,-0.705,0.005
0,0,0,0.005,0.645,-0.955,0.005
0,0,0,0.005,0.515,-0.445,0.005
0,0,0,0.005,0.525,-0.445,0.005
0,0,0,0.005,0.535,-0.445,0.005
0,0,0,0.005,0.545,-0.445,0.005
0,0,0,0.005,0.555,-0.445,0.005
0,0,0,0.005,0.565,-0.445,0.005
0,0,0,0.005,0.575,-0.445,0.005
0,0,0,0.005,0.585,-0.445,0.005
0,0,0,0.005,0.595,-0.445,0.005
0,0,0,0.005,0.605,-0.445,0.005
0,0,0,0.005,0.615,-0.445,0.005
0,0,0,0.005,0.625,-0.445,0.005
0,0,0,0.005,0.635,-0.445,0.005
0,0,0,0.075,0.635,-0.475,0.075
0,0,0,0.005,0.525,-0.385,0.005
0,0,0,0.005,0.535,-0.385,0.005
0,0,0,0.005,0.545,-0.385,0.005
0,0,0,0.005,0.555,-0.385,0.005
0,0,0,0.005,0.535,-0.325,0.005
0,0,0,0.005,0.545,-0.325,0.005
0,0,0,0.005,0.555,-0.325,0.005
0,0,0,0.005,0.565,-0.385,0.005
0,0,0,0.005,0.575,-0.385,0.005
0,0,0,0.005,0.585,-0.385,0.005
0,0,0,0.005,0.595,-0.385,0.005
0,0,0,0.005,0.605,-0.385,0.005
0,0,0,0.005,0.615,-0.385,0.005
0,0,0,0.005,0.625,-0.385,0.005
0,0,0,0.005,0.635,-0.385,0.005
0,0,0,0.005,0.565,-0.325,0.005
0,0,0,0.005,0.575,-0.325,0.005
0,0,0,0.005,0.585,-0.325,0.005
0,0,0,0.005,0.595,-0.325,0.005
0,0,0,0.005,0.605,-0.325,0.005
0,0,0,0.005,0.615,-0.325,0.005
0,0,0,0.005,0.625,-0.325,0.005
0,0,0,0.005,0.635,-0.325,0.005
0,0,0,0.095,0.485,-0.475,0.095
0,0,0,0.095,0.495,-0.475,0.095
0,0,0,0.095,0.505,-0.475,0.095
0,0,0,0.095,0.515,-0.475,0.095
0,0,0,0.105,0.485,-0.475,0.105
0,0,0,0.095,0.525,-0.475,0.095
0,0,0,0.095,0.535,-0.475,0.095
0,0,0,0.095,0.545,-0.475,0.095
0,0,0,0.095,0.555,-0.475,0.095
0,0,0,0.085,0.565,-0.475,0.085
0,0,0,0.085,0.575,-0.475,0.085
0,0,0,0.085,0.585,-0.475,0.085
0,0,0,0.085,0.595,-0.475,0.085
0,0,0,0.085,0.605,-0.475,0.085
0,0,0,0.085,0.615,-0.475,0.085
0,0,0,0.085,0.625,-0.475,0.085
0,0,0,0.085,0.635,-0.475,0.085
0,0,0,0.305,0.395,-0.505,0.305
0,0,0,0.265,0.435,-0.475,0.265
0,0,0,0.265,0.445,-0.475,0.265
0,0,0,0.265,0.455,-0.475,0.265
0,0,0,0.265,0.465,-0.475,0.265
0,0,0,0.265,0.475,-0.475,0.265
0,0,0,0.255,0.485,-0.475,0.255
0,0,0,0.255,0.495,-0.475,0.255
0,0,0,0.255,0.505,-0.475,0.255
0,0,0,0.255,0.515,-0.475,0.255
0,0,0,0.255,0.525,-0.475,0.255
0,0,0,0.255,0.535,-0.475,0.255
0,0,0,0.255,0.545,-0.475,0.255
0,0,0,0.255,0.555,-0.475,0.255
0,0,0,0.245,0.565,-0.475,0.245
0,0,0,0.245,0.575,-0.475,0.245
0,0,0,0.245,0.585,-0.475,0.245
0,0,0,0.245,0.595,-0.475,0.245
0,0,0,0.245,0.605,-0.475,0.245
0,0,0,0.245,0.615,-0.475,0.245
0,0,0,0.005,0.525,-0.265,0.005
0,0,0,0.005,0.535,-0.265,0.005
0,0,0,0.005,0.545,-0.265,0.005
0,0,0,0.005,0.555,-0.265,0.005
0,0,0,0.005,0.565,-0.265,0.005
0,0,0,0.005,0.575,-0.265,0.005
0,0,0,0.005,0.585,-0.265,0.005
0,0,0,0.005,0.595,-0.265,0.005
0,0,0,0.005,0.605,-0.265,0.005
0,0,0,0.005,0.615,-0.265,0.005
0,0,0,0.005,0.625,-0.265,0.005
0,0,0,0.005,0.635,-0.265,0.005
0,0,0,0.005,0.535,-0.205,0.005
0,0,0,0.005,0.545,-0.205,0.005
0,0,0,0.005,0.555,-0.205,0.005
0,0,0,0.005,0.565,-0.205,0.005
0,0,0,0.005,0.575,-0.205,0.005
0,0,0,0.005,0.585,-0.205,0.005
0,0,0,0.005,0.595,-0.205,0.005
0,0,0,0.005,0.605,-0.205,0.005
0,0,0,0.005,0.615,-0.205,0.005
0,0,0,0.005,0.625,-0.205,0.005
0,0,0,0.005,0.635,-0.205,0.005
0,0,0,0.005,0.525,-0.145,0.005
0,0,0,0.005,0.535,-0.145,0.005
0,0,0,0.005,0.545,-0.145,0.005
0,0,0,0.005,0.555,-0.145,0.005
0,0,0,0.005,0.545,-0.095,0.005
0,0,0,0.005,0.555,-0.095,0.005
0,0,0,0.005,0.565,-0.145,0.005
0,0,0,0.005,0.575,-0.145,0.005
0,0,0,0.005,0.585,-0.145,0.005
0,0,0,0.005,0.595,-0.145,0.005
0,0,0,0.005,0.605,-0.145,0.005
0,0,0,0.005,0.615,-0.145,0.005
0,0,0,0.005,0.625,-0.145,0.005
0,0,0,0.005,0.635,-0.145,0.005
0,0,0,0.005,0.565,-0.095,0.005
0,0,0,0.005,0.575,-0.095,0.005
0,0,0,0.005,0.585,-0.095,0.005
0,0,0,0.005,0.595,-0.095,0.005
0,0,0,0.005,0.605,-0.095,0.005
0,0,0,0.005,0.615,-0.095,0.005
0,0,0,0.005,0.625,-0.095,0.005
0,0,0,0.005,0.635,-0.095,0.005
0,0,0,0.005,0.565,-0.035,0.005
0,0,0,0.005,0.575,-0.035,0.005
0,0,0,0.005,0.585,-0.035,0.005
0,0,0,0.005,0.595,-0.035,0.005
0,0,0,0.005,0.605,-0.035,0.005
0,0,0,0.005,0.615,-0.035,0.005
0,0,0,0.005,0.625,-0.035,0.005
0,0,0,0.005,0.635,-0.035,0.005
0,0,0,0.325,0.395,-0.505,0.325
0,0,0,0.355,0.395,-0.485,0.355
0,0,0,0.375,0.395,-0.485,0.375
0,0,0,0.405,0.395,-0.525,0.405
0,0,0,0.425,0.395,-0.505,0.425
0,0,0,0.455,0.395,-0.495,0.455
0,0,0,0.465,0.395,-0.495,0.465
